rand,select,common_name,scientific_name,group,state_status,federal_status,global_rank,state_rank,global_rank_2,plan_date,rpn,fws_exp,other_fed_exp,state_exp,total_exp,years_rep,max_exp,median_exp,rpn_sort
0.183275435,0,Gray Wolf,Canis lupus,Mammal,Endangered,Endangered,G4G5,SX,4.5,1982/09/15 00:00:00,3C,61073007,41947521,17781285,120801813,15,6954633,1560262,3
0.155521258,0,Humpback Whale,Megaptera novaeangliae,Mammal,Endangered,Endangered,G4,SNR,4,,,87823,55360292,347870,55795985,15,7921457,4033919,
0.137242723,1,Jaguar,Panthera onca,Mammal,Endangered,Endangered,G3,SH,3,,5C,1662978,1980508,447980,4091466,15,803685,196600,5
0.367474251,0,Jaguarundi,Herpailurus yaguarondi,Mammal,Endangered,Endangered,G4,S1,4,,,,,,,,,,
0.887837162,0,Killer Whale,Orcinus orca,Mammal,Threatened,Not listed,G4G5,S1,4.5,,,41006,18829478,220700,19091184,9,3990517,2314206,
0.405875012,0,Louisiana Black Bear,Ursus americanus luteolus,Mammal,Threatened,Not listed,G5T2,SNA,5,1995/09/27 00:00:00,9,4683736,33073520,1053349,38810605,15,5613874,2027240,9
0.828145187,0,Mexican Long-nosed Bat,Leptonycteris nivalis,Mammal,Endangered,Endangered,G2G3,S1,2.5,1994/09/08 00:00:00,5,139200,931999,55405,1126604,15,197100,51682,5
0.397155807,0,Ocelot,Leopardus pardalis,Mammal,Endangered,Endangered,G4,S1,4,,,,,,,,,,
0.918614484,0,Palo Duro Mouse,Peromyscus truei comanche,Mammal,Threatened,Not listed,G5T2,S2,5,,,,,,,,,,
0.463605365,0,Pygmy Killer Whale,Feresa attenuata,Mammal,Threatened,Not listed,G4,S1,4,,,,,,,,,,
0.998521876,0,Pygmy Sperm Whale,Kogia breviceps,Mammal,Threatened,Not listed,G4,SNR,4,,,,,,,,,,
0.996331042,0,Rafinesque's Big-eared Bat,Corynorhinus rafinesquii,Mammal,Threatened,Not listed,G3G4,S3,3.5,,,,,,,,,,
0.774186022,0,Red Wolf,Canis rufus,Mammal,Endangered,Endangered,G1Q,SX,1,1990/10/26 00:00:00,5C,17035948,5237279,346046,22619273,15,3590255,620462.5,5
0.36257363,0,Rough-toothed Dolphin,Steno bredanensis,Mammal,Threatened,Not listed,G4,S1,4,,,,,,,,,,
0.860097384,0,Short-finned Pilot Whale,Globicephala macrorhynchus,Mammal,Threatened,Not listed,G5,S1,5,,,,,,,,,,
0.226703712,0,Southern Yellow Bat,Lasiurus ega,Mammal,Threatened,Not listed,G5,S1,5,,,,,,,,,,
0.015173074,1,Spotted Bat,Euderma maculatum,Mammal,Threatened,Not listed,G4,S2,4,,,,,,,,,,
0.704631691,0,Texas Kangaroo Rat,Dipodomys elator,Mammal,Threatened,Not listed,G2,S1,2,,,,,,,,,,
0.379324258,0,West Indian Manatee,Trichechus manatus,Mammal,Endangered,Endangered,G2,S1,2,,5C,29204489,49167433,63429310,141801232,15,14707167,9737769,5
0.935718227,0,White-nosed Coati,Nasua narica,Mammal,Threatened,Not listed,G5,S2?,5,,,,,,,,,,
0.004011291,1,Ashy Dogweed,Thymophylla tephroleuca,Plant,Endangered,Endangered,G2,S2,2,1988/07/29 00:00:00,5,144400,69534,33144,247078,15,46813,12000,5
